Cidades,Nome da cidade,Visualizações intencionais,Porcentagem visualizada média (%),Continuaram assistindo (%),Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,,42617,71.06,65.71,64194,348.3269,0:00:28
0x94ce448183a461d1:0x9ba94b08ff335bae,"São Paulo, SP, Brasil",3228,77.24,69.19,4852,27.3953,0:00:30
0x9bde559108a05b:0x50dc426c672fd24e,"Rio de Janeiro, RJ, Brasil",1203,73.51,67.47,1788,9.5699,0:00:28
0xa690cacacf2c33:0x5b35795e3ad23997,"Belo Horizonte, MG, Brasil",492,64.03,69.21,696,3.5016,0:00:25
0x7c74f21f6c15c2f:0xfd6d6706cb7927aa,"Fortaleza - Zone , Fortaleza - CE, Brasil",430,74.44,74.39,582,3.3791,0:00:27
0x935a3d18df9ae275:0x738470e469754a24,"Brasília - Plano Piloto, Brasília - DF, Brasil",343,119.4,70.58,484,4.1975,0:00:43
0x716112050422ebd:0xf71c84369573db9d,"Salvador, BA, Brasil",304,75.96,71.7,440,2.3529,0:00:27
0x94dce35351cdb3dd:0x6d2f6ba5bacbe809,"Curitiba, PR, Brasil",283,88.53,75.07,383,2.5117,0:00:31
0x926c1bc8b37647b7:0x2b485c9ff765a9cc,"Manaus, AM, Brasil",277,78.24,70.84,390,2.1897,0:00:28
0x935ef6bd58d80867:0xef692bad20d2678e,"Goiânia, GO, Brasil",220,76.22,71.9,315,1.755,0:00:28
0x94c8c61de74b6325:0x17e53a6a2178c22a,"Campinas, SP, Brasil",210,76.7,75.54,303,1.6223,0:00:27
0x7ab196f94e5408b:0xe5800ef782bde3a6,"Recife, PE, Brasil",193,74.33,78.37,243,1.483,0:00:27
0x94cef53fb1b5e26d:0x974ce18d22c3555b,"Guarulhos, SP, Brasil",173,77.64,76,244,1.3815,0:00:28
0x95199cd2566acb1d:0x603111a89f87e91f,"Porto Alegre, RS, Brasil",170,66.61,77.98,219,1.1609,0:00:24
0x7f68ff06f7f6d21:0x983102e459a3de47,"São Luís, MA, Brasil",144,75.89,79.56,190,1.1046,0:00:27
0x92a461af84756ce1:0x570d540215864c35,"Belém, PA, Brasil",124,70.59,80.52,151,0.8768,0:00:25
0x94ceff085b9ef207:0xf21e27d4c824c4e,"Osasco, SP, Brasil",116,76.87,75.82,156,0.9104,0:00:28
0x94ce4278871d7eef:0x9eaaca862adb4ede,"Santo André, SP, Brasil",100,74.58,73.33,138,0.7578,0:00:27
0x9486e6726b2b9f27:0xf5a8469ebc84d2c1,"Campo Grande, MS, Brasil",96,78.36,79.34,124,0.7429,0:00:27
0x94ce3fc6927dd0c3:0xcdcd0d550f9656cf,"São Bernardo do Campo, SP, Brasil",96,91.6,80,151,0.8945,0:00:33
0x7b3aaac26460531:0x5d8b404cf00fed69,"Natal, RN, Brasil",91,74.23,78.45,128,0.706,0:00:27
0x7ace839019aa3d7:0x6e414a9c6d26db34,"João Pessoa, PB, Brasil",79,81.12,74.53,122,0.6421,0:00:28
0x70146fcd6688849:0xee2c725b43e07653,"Maceió, AL, Brasil",78,71.35,75.73,109,0.5758,0:00:26
