Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Porcentagem visualizada média (%),Continuaram assistindo (%),Espectadores únicos,Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Espectadores casuais,Espectadores recorrentes,Hypes,Inscrições obtidas,Inscrições perdidas,Pontos de hype,"Marcações ""Gostei""","Marcações ""Não gostei""","""Gostei"" (vs. ""Não gostei"") (%)",Compartilhamentos,Comentários adicionados,Visualizações,Tempo de exibição (horas),Inscritos,Duração média da visualização,Impressões,Taxa de cliques de impressões (%)
Total,,,,42617,71.06,65.71,0,0,0,0,0,0,0,229,43,0,1954,74,96.35,56,61,64194,348.3269,186,0:00:28,8740,7.93
VZKUW1_M8mU,Piores momentos do futebol. #futebol #futebolmelhoresmomentos #shorts,"Dec 4, 2024",35,10535,76.74,83.49,,,,,,,0,35,1,0,588,13,97.84,10,2,10568,78.6022,34,0:00:26,332,3.01
L_KwOTvKTGA,Corinthians não é mais o mesmo ? #futebol #Corinthians #neymar #santos #libertadores #brasileirao,"Oct 17, 2025",37,6307,81.6,66.68,,,,,,,0,35,1,0,239,25,90.53,20,8,10870,54.0343,34,0:00:30,1796,8.13
bRk_Xnib20E,MESSI X CRISTIANO Ronaldo #futebol #neymar #messi #cristianoronaldo #cr7,"Oct 10, 2025",40,4480,56.37,54.55,,,,,,,0,35,1,0,157,8,95.15,2,2,7963,29.3716,34,0:00:22,230,2.17
Zc92iQMzPF8,Quem tem a maior torcida? #palmeiras #futebol #messi #neymar #corinthians #cr7,"Oct 15, 2025",37,4429,96.01,67.86,,,,,,,0,39,1,0,200,4,98.04,5,31,8335,44.3968,38,0:00:35,523,9.18
Wir_CDJyqiI,Qual é a torcida mais chora ? #futebol #flamengo #Corinthians #palmeiras #santos #sãopaulo #inter,"Oct 16, 2025",32,2794,98.38,71.01,,,,,,,0,12,0,0,101,6,94.39,7,12,4919,24.7402,12,0:00:31,1895,11.56
xMlimPzlAmE,Copa do Brasil! #shorts,"Dec 3, 2024",29,2578,87.93,67.33,,,,,,,0,11,0,0,150,0,100,4,0,2601,18.2649,11,0:00:25,89,4.49
3ew6ZU0oZjU,Neymar no mercado #neymar #futebol #flamengo #Corinthians #palmeiras,"Oct 19, 2025",41,1810,79.35,64.47,,,,,,,0,3,0,0,56,1,98.25,1,0,2884,16.6209,3,0:00:32,183,10.38
OXrw9AFgMNs,Palmeiras tem Mundial? #PalmeirasTemMundial #Futebol #palmeiras #Copa #mundialdeclubes #Verdao,"Oct 8, 2025",58,1544,67.2,55.79,,,,,,,0,5,0,0,52,1,98.11,4,2,2779,17.1041,5,0:00:38,266,3.38
H44oCvNCLVo,Jogadores de Futebol: Escravos dos Contratos? #futebol #futebolbrasileiro #neymar #santos #flamengo,"Oct 19, 2025",49,1273,48.3,66.93,,,,,,,0,12,0,0,51,2,96.23,1,0,1895,8.6178,12,0:00:23,173,13.87
