Data,Espectadores novos e recorrentes,Visualizações intencionais
2024-11-14,Novos espectadores,0
2024-11-15,Novos espectadores,0
2024-11-16,Novos espectadores,0
2024-11-17,Novos espectadores,0
2024-11-18,Novos espectadores,0
2024-11-19,Novos espectadores,0
2024-11-20,Novos espectadores,0
2024-11-21,Novos espectadores,0
2024-11-22,Novos espectadores,0
2024-11-23,Novos espectadores,0
2024-11-24,Novos espectadores,0
2024-11-25,Novos espectadores,0
2024-11-26,Novos espectadores,0
2024-11-27,Novos espectadores,0
2024-11-28,Novos espectadores,0
2024-11-29,Novos espectadores,0
2024-11-30,Novos espectadores,0
2024-12-01,Novos espectadores,0
2024-12-02,Novos espectadores,431
2024-12-03,Novos espectadores,1439
2024-12-04,Novos espectadores,2695
2024-12-05,Novos espectadores,3560
2024-12-06,Novos espectadores,4801
2024-12-07,Novos espectadores,862
2024-12-08,Novos espectadores,11
2024-12-09,Novos espectadores,10
2024-12-10,Novos espectadores,14
2024-12-11,Novos espectadores,2
2024-12-12,Novos espectadores,1
2024-12-13,Novos espectadores,1
2024-12-14,Novos espectadores,6
2024-12-15,Novos espectadores,4
2024-12-16,Novos espectadores,4
2024-12-17,Novos espectadores,1
2024-12-18,Novos espectadores,4
2024-12-19,Novos espectadores,0
2024-12-20,Novos espectadores,0
2024-12-21,Novos espectadores,0
2024-12-22,Novos espectadores,1
2024-12-23,Novos espectadores,0
2024-12-24,Novos espectadores,1
2024-12-25,Novos espectadores,2
2024-12-26,Novos espectadores,1
2024-12-27,Novos espectadores,0
2024-12-28,Novos espectadores,0
2024-12-29,Novos espectadores,1
2024-12-30,Novos espectadores,0
2024-12-31,Novos espectadores,0
2025-01-01,Novos espectadores,0
2025-01-02,Novos espectadores,1
2025-01-03,Novos espectadores,1
2025-01-04,Novos espectadores,1
2025-01-05,Novos espectadores,3
2025-01-06,Novos espectadores,1
2025-01-07,Novos espectadores,0
2025-01-08,Novos espectadores,0
2025-01-09,Novos espectadores,0
2025-01-10,Novos espectadores,0
2025-01-11,Novos espectadores,1
2025-01-12,Novos espectadores,0
2025-01-13,Novos espectadores,0
2025-01-14,Novos espectadores,0
2025-01-15,Novos espectadores,0
2025-01-16,Novos espectadores,0
2025-01-17,Novos espectadores,0
2025-01-18,Novos espectadores,0
2025-01-19,Novos espectadores,0
2025-01-20,Novos espectadores,0
2025-01-21,Novos espectadores,0
2025-01-22,Novos espectadores,0
2025-01-23,Novos espectadores,0
2025-01-24,Novos espectadores,0
2025-01-25,Novos espectadores,0
2025-01-26,Novos espectadores,1
2025-01-27,Novos espectadores,0
2025-01-28,Novos espectadores,0
2025-01-29,Novos espectadores,0
2025-01-30,Novos espectadores,0
2025-01-31,Novos espectadores,0
2025-02-01,Novos espectadores,0
2025-02-02,Novos espectadores,0
2025-02-03,Novos espectadores,0
2025-02-04,Novos espectadores,0
2025-02-05,Novos espectadores,0
2025-02-06,Novos espectadores,0
2025-02-07,Novos espectadores,0
2025-02-08,Novos espectadores,0
2025-02-09,Novos espectadores,0
2025-02-10,Novos espectadores,0
2025-02-11,Novos espectadores,0
2025-02-12,Novos espectadores,0
2025-02-13,Novos espectadores,1
2025-02-14,Novos espectadores,0
2025-02-15,Novos espectadores,0
2025-02-16,Novos espectadores,0
2025-02-17,Novos espectadores,0
2025-02-18,Novos espectadores,0
2025-02-19,Novos espectadores,0
2025-02-20,Novos espectadores,0
2025-02-21,Novos espectadores,0
2025-02-22,Novos espectadores,0
2025-02-23,Novos espectadores,0
2025-02-24,Novos espectadores,0
2025-02-25,Novos espectadores,0
2025-02-26,Novos espectadores,0
2025-02-27,Novos espectadores,0
2025-02-28,Novos espectadores,0
2025-03-01,Novos espectadores,0
2025-03-02,Novos espectadores,0
2025-03-03,Novos espectadores,0
2025-03-04,Novos espectadores,0
2025-03-05,Novos espectadores,0
2025-03-06,Novos espectadores,0
2025-03-07,Novos espectadores,0
2025-03-08,Novos espectadores,0
2025-03-09,Novos espectadores,0
2025-03-10,Novos espectadores,0
2025-03-11,Novos espectadores,0
2025-03-12,Novos espectadores,0
2025-03-13,Novos espectadores,0
2025-03-14,Novos espectadores,1
2025-03-15,Novos espectadores,0
2025-03-16,Novos espectadores,0
2025-03-17,Novos espectadores,0
2025-03-18,Novos espectadores,0
2025-03-19,Novos espectadores,0
2025-03-20,Novos espectadores,0
2025-03-21,Novos espectadores,0
2025-03-22,Novos espectadores,0
2025-03-23,Novos espectadores,0
2025-03-24,Novos espectadores,0
2025-03-25,Novos espectadores,0
2025-03-26,Novos espectadores,0
2025-03-27,Novos espectadores,0
2025-03-28,Novos espectadores,0
2025-03-29,Novos espectadores,0
2025-03-30,Novos espectadores,0
2025-03-31,Novos espectadores,0
2025-04-01,Novos espectadores,0
2025-04-02,Novos espectadores,0
2025-04-03,Novos espectadores,0
2025-04-04,Novos espectadores,0
2025-04-05,Novos espectadores,0
2025-04-06,Novos espectadores,0
2025-04-07,Novos espectadores,0
2025-04-08,Novos espectadores,0
2025-04-09,Novos espectadores,0
2025-04-10,Novos espectadores,0
2025-04-11,Novos espectadores,0
2025-04-12,Novos espectadores,0
2025-04-13,Novos espectadores,0
2025-04-14,Novos espectadores,0
2025-04-15,Novos espectadores,0
2025-04-16,Novos espectadores,0
2025-04-17,Novos espectadores,0
2025-04-18,Novos espectadores,0
2025-04-19,Novos espectadores,0
2025-04-20,Novos espectadores,0
2025-04-21,Novos espectadores,0
2025-04-22,Novos espectadores,0
2025-04-23,Novos espectadores,0
2025-04-24,Novos espectadores,0
2025-04-25,Novos espectadores,0
2025-04-26,Novos espectadores,0
2025-04-27,Novos espectadores,0
2025-04-28,Novos espectadores,0
2025-04-29,Novos espectadores,0
2025-04-30,Novos espectadores,0
2025-05-01,Novos espectadores,0
2025-05-02,Novos espectadores,0
2025-05-03,Novos espectadores,0
2025-05-04,Novos espectadores,0
2025-05-05,Novos espectadores,0
2025-05-06,Novos espectadores,0
2025-05-07,Novos espectadores,0
2025-05-08,Novos espectadores,0
2025-05-09,Novos espectadores,0
2025-05-10,Novos espectadores,0
2025-05-11,Novos espectadores,0
2025-05-12,Novos espectadores,0
2025-05-13,Novos espectadores,1
2025-05-14,Novos espectadores,0
2025-05-15,Novos espectadores,0
2025-05-16,Novos espectadores,0
2025-05-17,Novos espectadores,0
2025-05-18,Novos espectadores,0
2025-05-19,Novos espectadores,0
2025-05-20,Novos espectadores,0
2025-05-21,Novos espectadores,0
2025-05-22,Novos espectadores,0
2025-05-23,Novos espectadores,0
2025-05-24,Novos espectadores,0
2025-05-25,Novos espectadores,0
2025-05-26,Novos espectadores,1
2025-05-27,Novos espectadores,0
2025-05-28,Novos espectadores,0
2025-05-29,Novos espectadores,0
2025-05-30,Novos espectadores,0
2025-05-31,Novos espectadores,0
2025-06-01,Novos espectadores,0
2025-06-02,Novos espectadores,0
2025-06-03,Novos espectadores,0
2025-06-04,Novos espectadores,0
2025-06-05,Novos espectadores,0
2025-06-06,Novos espectadores,0
2025-06-07,Novos espectadores,0
2025-06-08,Novos espectadores,0
2025-06-09,Novos espectadores,0
2025-06-10,Novos espectadores,0
2025-06-11,Novos espectadores,0
2025-06-12,Novos espectadores,0
2025-06-13,Novos espectadores,0
2025-06-14,Novos espectadores,0
2025-06-15,Novos espectadores,0
2025-06-16,Novos espectadores,0
2025-06-17,Novos espectadores,0
2025-06-18,Novos espectadores,0
2025-06-19,Novos espectadores,0
2025-06-20,Novos espectadores,0
2025-06-21,Novos espectadores,0
2025-06-22,Novos espectadores,0
2025-06-23,Novos espectadores,0
2025-06-24,Novos espectadores,0
2025-06-25,Novos espectadores,1
2025-06-26,Novos espectadores,0
2025-06-27,Novos espectadores,0
2025-06-28,Novos espectadores,0
2025-06-29,Novos espectadores,0
2025-06-30,Novos espectadores,0
2025-07-01,Novos espectadores,0
2025-07-02,Novos espectadores,0
2025-07-03,Novos espectadores,0
2025-07-04,Novos espectadores,0
2025-07-05,Novos espectadores,0
2025-07-06,Novos espectadores,0
2025-07-07,Novos espectadores,0
2025-07-08,Novos espectadores,0
2025-07-09,Novos espectadores,1
2025-07-10,Novos espectadores,0
2025-07-11,Novos espectadores,0
2025-07-12,Novos espectadores,0
2025-07-13,Novos espectadores,0
2025-07-14,Novos espectadores,0
2025-07-15,Novos espectadores,0
2025-07-16,Novos espectadores,0
2025-07-17,Novos espectadores,0
2025-07-18,Novos espectadores,0
2025-07-19,Novos espectadores,0
2025-07-20,Novos espectadores,0
2025-07-21,Novos espectadores,0
2025-07-22,Novos espectadores,0
2025-07-23,Novos espectadores,0
2025-07-24,Novos espectadores,0
2025-07-25,Novos espectadores,0
2025-07-26,Novos espectadores,0
