Sistema operacional,Visualizações intencionais,Porcentagem visualizada média (%),Impressões,Taxa de cliques de impressões (%),Espectadores únicos,Média de visualizações por espectador,Continuaram assistindo (%),Hypes,Pontos de hype,"Marcações ""Gostei""","Marcações ""Não gostei""",Compartilhamentos,"""Gostei"" (vs. ""Não gostei"") (%)",Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,42617,71.06,8740,7.93,0,0,65.71,0,0,1954,74,56,96.35,64194,348.3269,0:00:28
Android,31496,68.82,6180,7.85,,,64.78,0,0,2011,88,53,95.81,49725,250.0108,0:00:27
Smart TV,3050,77.22,595,11.26,,,69.62,0,0,46,1,0,97.87,3915,27.5677,0:00:32
iOS,2463,81.25,559,5.55,,,66.41,0,0,99,4,2,96.12,3359,21.6271,0:00:31
WebOS,1846,81.6,379,7.92,,,70.76,0,0,20,1,0,95.24,2377,17.5381,0:00:34
SO Roku,1397,71.29,382,8.12,,,66.36,0,0,37,2,0,94.87,1765,11.6901,0:00:30
Windows,889,71.76,352,4.55,,,68.53,0,0,10,0,1,100,1162,7.2291,0:00:28
Amazon Fire OS,293,76.1,33,15.15,,,72.1,0,0,2,1,0,66.67,372,2.5439,0:00:31
Playstation,241,72.8,77,14.29,,,61.6,0,0,6,0,0,100,318,1.9993,0:00:29
Xbox,103,85.12,6,33.33,,,68.21,0,0,1,0,0,100,137,1.0332,0:00:35
Nintendo Switch,63,73.71,7,28.57,,,66.32,0,0,1,0,0,100,80,0.5356,0:00:30
ChromeOS,38,71.23,23,0,,,66.67,0,0,0,0,0,,48,0.2897,0:00:27
Linux,21,76.44,13,0,,,48.84,0,0,2,0,0,100,29,0.1824,0:00:30
Vidaa,21,44.64,9,11.11,,,76.92,0,0,0,0,0,,24,0.1159,0:00:19
Macintosh,19,112.32,8,0,,,60,0,0,2,1,0,66.67,31,0.2322,0:00:43
Chromecast,11,57,0,,,,78.57,0,0,0,0,0,,12,0.0682,0:00:22
Apple tvOS,7,87.25,0,,,,58.33,0,0,0,0,0,,9,0.065,0:00:33
Windows Mobile,1,175.42,0,,,,100,0,0,0,0,0,,1,0.0171,0:01:01
Tizen,1,74.31,0,,,,100,0,0,0,0,0,,1,0.0124,0:00:44
