Data,Status da inscrição,Visualizações intencionais
2024-11-14,Inscrito,0
2024-11-15,Inscrito,0
2024-11-16,Inscrito,0
2024-11-17,Inscrito,0
2024-11-18,Inscrito,0
2024-11-19,Inscrito,0
2024-11-20,Inscrito,0
2024-11-21,Inscrito,0
2024-11-22,Inscrito,0
2024-11-23,Inscrito,0
2024-11-24,Inscrito,0
2024-11-25,Inscrito,0
2024-11-26,Inscrito,0
2024-11-27,Inscrito,0
2024-11-28,Inscrito,0
2024-11-29,Inscrito,0
2024-11-30,Inscrito,0
2024-12-01,Inscrito,0
2024-12-02,Inscrito,0
2024-12-03,Inscrito,5
2024-12-04,Inscrito,0
2024-12-05,Inscrito,0
2024-12-06,Inscrito,0
2024-12-07,Inscrito,0
2024-12-08,Inscrito,0
2024-12-09,Inscrito,0
2024-12-10,Inscrito,0
2024-12-11,Inscrito,0
2024-12-12,Inscrito,0
2024-12-13,Inscrito,0
2024-12-14,Inscrito,0
2024-12-15,Inscrito,0
2024-12-16,Inscrito,0
2024-12-17,Inscrito,0
2024-12-18,Inscrito,0
2024-12-19,Inscrito,0
2024-12-20,Inscrito,0
2024-12-21,Inscrito,0
2024-12-22,Inscrito,0
2024-12-23,Inscrito,0
2024-12-24,Inscrito,0
2024-12-25,Inscrito,0
2024-12-26,Inscrito,0
2024-12-27,Inscrito,0
2024-12-28,Inscrito,0
2024-12-29,Inscrito,0
2024-12-30,Inscrito,0
2024-12-31,Inscrito,0
2025-01-01,Inscrito,0
2025-01-02,Inscrito,0
2025-01-03,Inscrito,0
2025-01-04,Inscrito,0
2025-01-05,Inscrito,0
2025-01-06,Inscrito,0
2025-01-07,Inscrito,0
2025-01-08,Inscrito,0
2025-01-09,Inscrito,0
2025-01-10,Inscrito,0
2025-01-11,Inscrito,0
2025-01-12,Inscrito,0
2025-01-13,Inscrito,0
2025-01-14,Inscrito,0
2025-01-15,Inscrito,0
2025-01-16,Inscrito,0
2025-01-17,Inscrito,0
2025-01-18,Inscrito,0
2025-01-19,Inscrito,0
2025-01-20,Inscrito,0
2025-01-21,Inscrito,0
2025-01-22,Inscrito,0
2025-01-23,Inscrito,0
2025-01-24,Inscrito,0
2025-01-25,Inscrito,0
2025-01-26,Inscrito,0
2025-01-27,Inscrito,0
2025-01-28,Inscrito,0
2025-01-29,Inscrito,0
2025-01-30,Inscrito,0
2025-01-31,Inscrito,0
2025-02-01,Inscrito,0
2025-02-02,Inscrito,0
2025-02-03,Inscrito,0
2025-02-04,Inscrito,0
2025-02-05,Inscrito,0
2025-02-06,Inscrito,0
2025-02-07,Inscrito,0
2025-02-08,Inscrito,0
2025-02-09,Inscrito,0
2025-02-10,Inscrito,0
2025-02-11,Inscrito,0
2025-02-12,Inscrito,0
2025-02-13,Inscrito,0
2025-02-14,Inscrito,0
2025-02-15,Inscrito,0
2025-02-16,Inscrito,0
2025-02-17,Inscrito,0
2025-02-18,Inscrito,0
