Data,Tipo de conteúdo,Visualizações intencionais
2024-11-14,Shorts,0
2024-11-15,Shorts,0
2024-11-16,Shorts,0
2024-11-17,Shorts,0
2024-11-18,Shorts,0
2024-11-19,Shorts,0
2024-11-20,Shorts,0
2024-11-21,Shorts,0
2024-11-22,Shorts,0
2024-11-23,Shorts,0
2024-11-24,Shorts,0
2024-11-25,Shorts,0
2024-11-26,Shorts,0
2024-11-27,Shorts,0
2024-11-28,Shorts,0
2024-11-29,Shorts,0
2024-11-30,Shorts,0
2024-12-01,Shorts,0
2024-12-02,Shorts,436
2024-12-03,Shorts,1469
2024-12-04,Shorts,2766
2024-12-05,Shorts,3684
2024-12-06,Shorts,4990
2024-12-07,Shorts,903
2024-12-08,Shorts,14
2024-12-09,Shorts,15
2024-12-10,Shorts,14
2024-12-11,Shorts,2
2024-12-12,Shorts,2
2024-12-13,Shorts,1
2024-12-14,Shorts,6
2024-12-15,Shorts,4
2024-12-16,Shorts,5
2024-12-17,Shorts,1
2024-12-18,Shorts,4
2024-12-19,Shorts,0
2024-12-20,Shorts,0
2024-12-21,Shorts,0
2024-12-22,Shorts,1
2024-12-23,Shorts,0
2024-12-24,Shorts,1
2024-12-25,Shorts,2
2024-12-26,Shorts,1
2024-12-27,Shorts,0
2024-12-28,Shorts,0
2024-12-29,Shorts,1
2024-12-30,Shorts,0
2024-12-31,Shorts,0
2025-01-01,Shorts,0
2025-01-02,Shorts,1
2025-01-03,Shorts,1
2025-01-04,Shorts,1
2025-01-05,Shorts,3
2025-01-06,Shorts,1
2025-01-07,Shorts,0
2025-01-08,Shorts,0
2025-01-09,Shorts,0
2025-01-10,Shorts,0
2025-01-11,Shorts,1
2025-01-12,Shorts,0
2025-01-13,Shorts,0
2025-01-14,Shorts,0
2025-01-15,Shorts,0
2025-01-16,Shorts,0
2025-01-17,Shorts,0
2025-01-18,Shorts,0
2025-01-19,Shorts,0
2025-01-20,Shorts,0
2025-01-21,Shorts,0
2025-01-22,Shorts,0
2025-01-23,Shorts,0
2025-01-24,Shorts,0
2025-01-25,Shorts,0
2025-01-26,Shorts,1
2025-01-27,Shorts,0
2025-01-28,Shorts,0
2025-01-29,Shorts,0
2025-01-30,Shorts,0
2025-01-31,Shorts,0
2025-02-01,Shorts,0
2025-02-02,Shorts,0
2025-02-03,Shorts,0
2025-02-04,Shorts,0
2025-02-05,Shorts,0
2025-02-06,Shorts,0
2025-02-07,Shorts,0
2025-02-08,Shorts,0
2025-02-09,Shorts,0
2025-02-10,Shorts,0
2025-02-11,Shorts,0
2025-02-12,Shorts,0
2025-02-13,Shorts,1
2025-02-14,Shorts,0
2025-02-15,Shorts,0
2025-02-16,Shorts,0
2025-02-17,Shorts,0
2025-02-18,Shorts,0
2025-02-19,Shorts,0
2025-02-20,Shorts,0
2025-02-21,Shorts,0
2025-02-22,Shorts,0
2025-02-23,Shorts,0
2025-02-24,Shorts,0
2025-02-25,Shorts,0
2025-02-26,Shorts,0
2025-02-27,Shorts,0
2025-02-28,Shorts,0
2025-03-01,Shorts,0
2025-03-02,Shorts,0
2025-03-03,Shorts,0
2025-03-04,Shorts,0
2025-03-05,Shorts,0
2025-03-06,Shorts,0
2025-03-07,Shorts,0
2025-03-08,Shorts,0
2025-03-09,Shorts,0
2025-03-10,Shorts,0
2025-03-11,Shorts,0
2025-03-12,Shorts,0
2025-03-13,Shorts,0
2025-03-14,Shorts,1
2025-03-15,Shorts,0
2025-03-16,Shorts,0
2025-03-17,Shorts,0
2025-03-18,Shorts,0
2025-03-19,Shorts,0
2025-03-20,Shorts,0
2025-03-21,Shorts,0
2025-03-22,Shorts,0
2025-03-23,Shorts,0
2025-03-24,Shorts,0
2025-03-25,Shorts,0
2025-03-26,Shorts,0
2025-03-27,Shorts,0
2025-03-28,Shorts,0
2025-03-29,Shorts,0
2025-03-30,Shorts,0
2025-03-31,Shorts,0
2025-04-01,Shorts,0
2025-04-02,Shorts,0
2025-04-03,Shorts,0
2025-04-04,Shorts,0
2025-04-05,Shorts,0
2025-04-06,Shorts,0
2025-04-07,Shorts,0
2025-04-08,Shorts,0
2025-04-09,Shorts,0
2025-04-10,Shorts,0
2025-04-11,Shorts,0
2025-04-12,Shorts,0
2025-04-13,Shorts,0
2025-04-14,Shorts,0
2025-04-15,Shorts,0
2025-04-16,Shorts,0
2025-04-17,Shorts,0
2025-04-18,Shorts,0
2025-04-19,Shorts,0
2025-04-20,Shorts,0
2025-04-21,Shorts,0
2025-04-22,Shorts,0
2025-04-23,Shorts,0
2025-04-24,Shorts,0
2025-04-25,Shorts,0
2025-04-26,Shorts,0
2025-04-27,Shorts,0
2025-04-28,Shorts,0
2025-04-29,Shorts,0
2025-04-30,Shorts,0
2025-05-01,Shorts,0
2025-05-02,Shorts,0
2025-05-03,Shorts,0
2025-05-04,Shorts,0
2025-05-05,Shorts,0
2025-05-06,Shorts,0
2025-05-07,Shorts,0
2025-05-08,Shorts,0
2025-05-09,Shorts,0
