Data,Tráfego orgânico e pago,Visualizações intencionais
2024-11-14,Orgânico,0
2024-11-15,Orgânico,0
2024-11-16,Orgânico,0
2024-11-17,Orgânico,0
2024-11-18,Orgânico,0
2024-11-19,Orgânico,0
2024-11-20,Orgânico,0
2024-11-21,Orgânico,0
2024-11-22,Orgânico,0
2024-11-23,Orgânico,0
2024-11-24,Orgânico,0
2024-11-25,Orgânico,0
2024-11-26,Orgânico,0
2024-11-27,Orgânico,0
2024-11-28,Orgânico,0
2024-11-29,Orgânico,0
2024-11-30,Orgânico,0
2024-12-01,Orgânico,0
2024-12-02,Orgânico,0
2024-12-03,Orgânico,0
2024-12-04,Orgânico,0
2024-12-05,Orgânico,0
2024-12-06,Orgânico,0
2024-12-07,Orgânico,0
2024-12-08,Orgânico,0
2024-12-09,Orgânico,0
2024-12-10,Orgânico,0
2024-12-11,Orgânico,0
2024-12-12,Orgânico,0
2024-12-13,Orgânico,0
2024-12-14,Orgânico,0
2024-12-15,Orgânico,0
2024-12-16,Orgânico,0
2024-12-17,Orgânico,0
2024-12-18,Orgânico,0
2024-12-19,Orgânico,0
2024-12-20,Orgânico,0
2024-12-21,Orgânico,0
2024-12-22,Orgânico,0
2024-12-23,Orgânico,0
2024-12-24,Orgânico,0
2024-12-25,Orgânico,0
2024-12-26,Orgânico,0
2024-12-27,Orgânico,0
2024-12-28,Orgânico,0
2024-12-29,Orgânico,0
2024-12-30,Orgânico,0
2024-12-31,Orgânico,0
2025-01-01,Orgânico,0
2025-01-02,Orgânico,0
2025-01-03,Orgânico,0
2025-01-04,Orgânico,0
2025-01-05,Orgânico,0
2025-01-06,Orgânico,0
2025-01-07,Orgânico,0
2025-01-08,Orgânico,0
2025-01-09,Orgânico,0
2025-01-10,Orgânico,0
2025-01-11,Orgânico,0
2025-01-12,Orgânico,0
2025-01-13,Orgânico,0
2025-01-14,Orgânico,0
2025-01-15,Orgânico,0
2025-01-16,Orgânico,0
2025-01-17,Orgânico,0
2025-01-18,Orgânico,0
2025-01-19,Orgânico,0
2025-01-20,Orgânico,0
2025-01-21,Orgânico,0
2025-01-22,Orgânico,0
2025-01-23,Orgânico,0
2025-01-24,Orgânico,0
2025-01-25,Orgânico,0
2025-01-26,Orgânico,0
2025-01-27,Orgânico,0
2025-01-28,Orgânico,0
2025-01-29,Orgânico,0
2025-01-30,Orgânico,0
2025-01-31,Orgânico,0
2025-02-01,Orgânico,0
2025-02-02,Orgânico,0
2025-02-03,Orgânico,0
2025-02-04,Orgânico,0
2025-02-05,Orgânico,0
2025-02-06,Orgânico,0
2025-02-07,Orgânico,0
2025-02-08,Orgânico,0
2025-02-09,Orgânico,0
2025-02-10,Orgânico,0
2025-02-11,Orgânico,0
2025-02-12,Orgânico,0
2025-02-13,Orgânico,0
2025-02-14,Orgânico,0
2025-02-15,Orgânico,0
2025-02-16,Orgânico,0
2025-02-17,Orgânico,0
2025-02-18,Orgânico,0
2025-02-19,Orgânico,0
2025-02-20,Orgânico,0
2025-02-21,Orgânico,0
2025-02-22,Orgânico,0
2025-02-23,Orgânico,0
2025-02-24,Orgânico,0
2025-02-25,Orgânico,0
2025-02-26,Orgânico,0
2025-02-27,Orgânico,0
2025-02-28,Orgânico,0
2025-03-01,Orgânico,0
2025-03-02,Orgânico,0
2025-03-03,Orgânico,0
2025-03-04,Orgânico,0
2025-03-05,Orgânico,0
2025-03-06,Orgânico,0
2025-03-07,Orgânico,0
2025-03-08,Orgânico,0
2025-03-09,Orgânico,0
2025-03-10,Orgânico,0
2025-03-11,Orgânico,0
2025-03-12,Orgânico,0
2025-03-13,Orgânico,0
2025-03-14,Orgânico,0
2025-03-15,Orgânico,0
2025-03-16,Orgânico,0
2025-03-17,Orgânico,0
2025-03-18,Orgânico,0
2025-03-19,Orgânico,0
2025-03-20,Orgânico,0
2025-03-21,Orgânico,0
