"Date","Video Views","Profile Views","Likes","Comments","Shares"
"22 de novembro","0","0","0","0","0"
"23 de novembro","0","0","0","0","0"
"24 de novembro","0","0","0","0","0"
"25 de novembro","1","0","0","0","0"
"26 de novembro","0","0","0","0","0"
"27 de novembro","0","0","0","0","0"
"28 de novembro","0","0","0","0","0"
"29 de novembro","0","0","0","0","0"
"30 de novembro","0","0","0","0","0"
"1 de dezembro","1","0","0","0","0"
"2 de dezembro","0","0","0","0","0"
"3 de dezembro","0","0","0","0","0"
"4 de dezembro","0","0","0","0","0"
"5 de dezembro","0","0","0","0","0"
"6 de dezembro","0","0","0","0","0"
"7 de dezembro","0","0","0","0","0"
"8 de dezembro","0","0","0","0","0"
"9 de dezembro","0","0","0","0","0"
"10 de dezembro","0","0","0","0","0"
"11 de dezembro","1","0","0","0","0"
"12 de dezembro","0","0","0","0","0"
"13 de dezembro","0","0","0","0","0"
"14 de dezembro","0","0","0","0","0"
"15 de dezembro","0","0","0","0","0"
"16 de dezembro","0","0","0","0","0"
"17 de dezembro","1","0","0","0","0"
"18 de dezembro","0","0","0","0","0"
"19 de dezembro","0","0","0","0","0"
"20 de dezembro","0","0","0","0","0"
"21 de dezembro","0","0","0","0","0"
"22 de dezembro","0","0","0","0","0"
"23 de dezembro","1","0","0","0","0"
"24 de dezembro","0","0","0","0","0"
"25 de dezembro","0","0","0","0","0"
"26 de dezembro","0","0","0","0","0"
"27 de dezembro","0","0","0","0","0"
"28 de dezembro","2","0","0","0","0"
"29 de dezembro","0","0","0","0","0"
"30 de dezembro","0","0","0","0","0"
"31 de dezembro","1","0","0","0","0"
"1 de janeiro","0","0","0","0","0"
"2 de janeiro","1","0","0","0","0"
"3 de janeiro","1","0","0","0","0"
"4 de janeiro","0","0","0","0","0"
"5 de janeiro","1","0","0","0","0"
"6 de janeiro","1","0","0","0","0"
"7 de janeiro","1","0","0","0","0"
"8 de janeiro","3","0","0","0","0"
"9 de janeiro","0","0","0","0","0"
"10 de janeiro","1","0","0","0","0"
"11 de janeiro","1","0","0","0","0"
"12 de janeiro","0","0","0","0","0"
"13 de janeiro","0","0","0","0","0"
"14 de janeiro","0","0","0","0","0"
"15 de janeiro","0","0","0","0","0"
"16 de janeiro","0","0","0","0","0"
"17 de janeiro","2","0","0","0","0"
"18 de janeiro","0","0","0","0","0"
"19 de janeiro","0","0","0","0","0"
"20 de janeiro","1","0","0","0","0"
"21 de janeiro","0","0","0","0","0"
"22 de janeiro","1","0","0","0","0"
"23 de janeiro","0","0","0","0","0"
"24 de janeiro","0","0","0","0","0"
"25 de janeiro","0","0","0","0","0"
"26 de janeiro","0","0","0","0","0"
"27 de janeiro","0","0","0","0","0"
"28 de janeiro","1","0","0","0","0"
"29 de janeiro","0","0","0","0","0"
"30 de janeiro","1","0","0","0","0"
"31 de janeiro","0","0","0","0","0"
"1 de fevereiro","0","0","0","0","0"
"2 de fevereiro","0","0","0","0","0"
"3 de fevereiro","0","0","0","0","0"
"4 de fevereiro","0","0","0","0","0"
"5 de fevereiro","0","0","0","0","0"
"6 de fevereiro","0","0","0","0","0"
"7 de fevereiro","0","0","0","0","0"
"8 de fevereiro","0","0","0","0","0"
"9 de fevereiro","0","0","0","0","0"
"10 de fevereiro","1","0","0","0","0"
"11 de fevereiro","0","0","0","0","0"
"12 de fevereiro","0","0","0","0","0"
"13 de fevereiro","1","0","0","0","0"
"14 de fevereiro","0","0","0","0","0"
"15 de fevereiro","0","0","0","0","0"
"16 de fevereiro","0","0","0","0","0"
"17 de fevereiro","0","0","0","0","0"
"18 de fevereiro","0","0","0","0","0"
"19 de fevereiro","0","0","0","0","0"
"20 de fevereiro","0","0","0","0","0"
"21 de fevereiro","0","0","0","0","0"
"22 de fevereiro","0","0","0","0","0"
"23 de fevereiro","0","0","0","0","0"
"24 de fevereiro","0","0","0","0","0"
"25 de fevereiro","0","0","0","0","0"
"26 de fevereiro","0","0","0","0","0"
"27 de fevereiro","0","0","0","0","0"
"28 de fevereiro","0","0","0","0","0"
"1 de março","0","0","0","0","0"
"2 de março","0","0","0","0","0"
"3 de março","0","0","0","0","0"
"4 de março","0","0","0","0","0"
"5 de março","0","0","0","0","0"
"6 de março","0","0","0","0","0"
"7 de março","0","0","0","0","0"
"8 de março","0","0","0","0","0"
"9 de março","0","0","0","0","0"
"10 de março","0","0","0","0","0"
"11 de março","0","0","0","0","0"
"12 de março","0","0","0","0","0"
"13 de março","1","0","0","0","0"
"14 de março","0","0","0","0","0"
"15 de março","0","0","0","0","0"
"16 de março","0","0","0","0","0"
"17 de março","0","0","0","0","0"
"18 de março","0","0","0","0","0"
"19 de março","0","0","0","0","0"
"20 de março","0","0","0","0","0"
"21 de março","0","0","0","0","0"
"22 de março","1","0","0","0","0"
"23 de março","0","0","0","0","0"
"24 de março","0","0","0","0","0"
"25 de março","0","0","0","0","0"
"26 de março","0","0","0","0","0"
"27 de março","0","0","0","0","0"
"28 de março","0","0","0","0","0"
"29 de março","0","0","0","0","0"
"30 de março","0","0","0","0","0"
"31 de março","0","0","0","0","0"
"1 de abril","1","0","0","0","0"
"2 de abril","0","0","0","0","0"
"3 de abril","1","0","0","0","0"
"4 de abril","1","0","0","0","0"
"5 de abril","1","0","0","0","0"
"6 de abril","1","0","0","0","0"
"7 de abril","1","0","0","0","0"
"8 de abril","0","0","0","0","0"
"9 de abril","2","0","0","0","0"
"10 de abril","2","0","0","0","0"
"11 de abril","0","0","0","0","0"
"12 de abril","0","0","0","0","0"
"13 de abril","0","0","0","0","0"
"14 de abril","0","0","0","0","0"
"15 de abril","0","0","0","0","0"
"16 de abril","1","0","0","0","0"
"17 de abril","0","0","0","0","0"
"18 de abril","0","0","0","0","0"
"19 de abril","1","0","0","0","0"
"20 de abril","0","0","0","0","0"
"21 de abril","0","0","0","0","0"
"22 de abril","0","0","0","0","0"
"23 de abril","0","0","0","0","0"
"24 de abril","0","0","0","0","0"
"25 de abril","0","0","0","0","0"
"26 de abril","0","0","0","0","0"
"27 de abril","0","0","0","0","0"
"28 de abril","1","0","0","0","0"
"29 de abril","0","0","0","0","0"
"30 de abril","0","0","0","0","0"
"1 de maio","0","0","0","0","0"
"2 de maio","0","0","0","0","0"
"3 de maio","0","0","0","0","0"
"4 de maio","0","0","0","0","0"
"5 de maio","0","0","0","0","0"
"6 de maio","0","0","0","0","0"
"7 de maio","1","0","0","0","0"
"8 de maio","2","0","0","0","0"
"9 de maio","0","0","0","0","0"
"10 de maio","0","0","0","0","0"
"11 de maio","0","0","0","0","0"
"12 de maio","1","0","0","0","0"
"13 de maio","0","0","0","0","0"
"14 de maio","0","0","0","0","0"
"15 de maio","1","0","0","0","0"
"16 de maio","0","0","0","0","0"
"17 de maio","1","0","0","0","0"
"18 de maio","1","0","0","0","0"
"19 de maio","1","0","0","0","0"
"20 de maio","0","0","0","0","0"
"21 de maio","0","0","0","0","0"
"22 de maio","0","0","0","0","0"
"23 de maio","1","0","0","0","0"
"24 de maio","0","0","0","0","0"
"25 de maio","0","0","0","0","0"
"26 de maio","0","0","0","0","0"
"27 de maio","0","0","0","0","0"
"28 de maio","0","0","0","0","0"
"29 de maio","0","0","0","0","0"
"30 de maio","1","0","0","0","0"
"31 de maio","0","0","0","0","0"
"1 de junho","1","0","0","0","0"
"2 de junho","0","0","0","0","0"
"3 de junho","1","0","0","0","0"
"4 de junho","0","0","0","0","0"
"5 de junho","0","0","0","0","0"
"6 de junho","2","0","0","0","0"
"7 de junho","0","0","0","0","0"
"8 de junho","0","0","0","0","0"
"9 de junho","1","0","0","0","0"
"10 de junho","0","0","0","0","0"
"11 de junho","1","0","0","0","0"
"12 de junho","0","0","0","0","0"
"13 de junho","0","0","0","0","0"
"14 de junho","0","0","0","0","0"
"15 de junho","1","0","0","0","0"
"16 de junho","1","0","0","0","0"
"17 de junho","0","0","0","0","0"
"18 de junho","0","0","0","0","0"
"19 de junho","0","0","0","0","0"
"20 de junho","0","0","0","0","0"
"21 de junho","0","0","0","0","0"
"22 de junho","0","0","0","0","0"
"23 de junho","0","0","0","0","0"
"24 de junho","0","0","0","0","0"
"25 de junho","0","0","0","0","0"
"26 de junho","0","0","0","0","0"
"27 de junho","0","0","0","0","0"
"28 de junho","0","0","0","0","0"
"29 de junho","0","0","0","0","0"
"30 de junho","0","0","0","0","0"
"1 de julho","1","0","0","0","0"
"2 de julho","1","0","0","0","0"
"3 de julho","1","0","0","0","0"
"4 de julho","1","0","0","0","0"
"5 de julho","0","0","0","0","0"
"6 de julho","0","0","0","0","0"
"7 de julho","0","0","0","0","0"
"8 de julho","0","0","0","0","0"
"9 de julho","0","0","0","0","0"
"10 de julho","0","0","0","0","0"
"11 de julho","0","0","0","0","0"
"12 de julho","1","0","0","0","0"
"13 de julho","0","0","0","0","0"
"14 de julho","0","0","0","0","0"
"15 de julho","0","0","0","0","0"
"16 de julho","0","0","0","0","0"
"17 de julho","0","0","0","0","0"
"18 de julho","0","0","0","0","0"
"19 de julho","0","0","0","0","0"
"20 de julho","0","0","0","0","0"
"21 de julho","0","0","0","0","0"
"22 de julho","0","0","0","0","0"
"23 de julho","0","0","0","0","0"
"24 de julho","0","0","0","0","0"
"25 de julho","0","0","0","0","0"
"26 de julho","0","0","0","0","0"
"27 de julho","0","0","0","0","0"
"28 de julho","2","0","0","0","0"
"29 de julho","0","0","0","0","0"
"30 de julho","0","0","0","0","0"
"31 de julho","0","0","0","0","0"
"1 de agosto","0","0","0","0","0"
"2 de agosto","0","0","0","0","0"
"3 de agosto","0","0","0","0","0"
"4 de agosto","0","0","0","0","0"
"5 de agosto","0","0","0","0","0"
"6 de agosto","0","0","0","0","0"
"7 de agosto","1","0","0","0","0"
"8 de agosto","0","0","0","0","0"
"9 de agosto","0","0","0","0","0"
"10 de agosto","0","0","0","0","0"
"11 de agosto","0","0","0","0","0"
"12 de agosto","1","0","0","0","0"
"13 de agosto","0","0","0","0","0"
"14 de agosto","0","0","0","0","0"
"15 de agosto","0","0","0","0","0"
"16 de agosto","0","0","0","0","0"
"17 de agosto","0","0","0","0","0"
"18 de agosto","0","0","0","0","0"
"19 de agosto","1","0","0","0","0"
"20 de agosto","0","0","0","0","0"
"21 de agosto","0","0","0","0","0"
"22 de agosto","0","0","0","0","0"
"23 de agosto","0","0","0","0","0"
"24 de agosto","0","0","0","0","0"
"25 de agosto","0","0","0","0","0"
"26 de agosto","0","0","0","0","0"
"27 de agosto","1","0","0","0","0"
"28 de agosto","0","0","0","0","0"
"29 de agosto","0","0","0","0","0"
"30 de agosto","1","0","0","0","0"
"31 de agosto","0","0","0","0","0"
"1 de setembro","0","0","0","0","0"
"2 de setembro","0","0","0","0","0"
"3 de setembro","0","0","0","0","0"
"4 de setembro","0","0","0","0","0"
"5 de setembro","0","0","0","0","0"
"6 de setembro","0","0","0","0","0"
"7 de setembro","0","0","0","0","0"
"8 de setembro","0","0","0","0","0"
"9 de setembro","0","0","0","0","0"
"10 de setembro","0","0","0","0","0"
"11 de setembro","0","0","0","0","0"
"12 de setembro","0","0","0","0","0"
"13 de setembro","0","0","0","0","0"
"14 de setembro","0","0","0","0","0"
"15 de setembro","1","0","0","0","0"
"16 de setembro","1","0","0","0","0"
"17 de setembro","0","0","0","0","0"
"18 de setembro","0","0","0","0","0"
"19 de setembro","0","0","0","0","0"
"20 de setembro","1","0","0","0","0"
"21 de setembro","0","0","0","0","0"
"22 de setembro","0","0","0","0","0"
"23 de setembro","0","0","0","0","0"
"24 de setembro","1","0","0","0","0"
"25 de setembro","1","0","0","0","0"
"26 de setembro","0","0","0","0","0"
"27 de setembro","0","0","0","0","0"
"28 de setembro","0","0","0","0","0"
"29 de setembro","0","0","0","0","0"
"30 de setembro","179","0","5","0","0"
"1 de outubro","211","2","8","0","0"
"2 de outubro","251","2","7","0","0"
"3 de outubro","1109","4","56","1","2"
"4 de outubro","626","1","35","3","1"
"5 de outubro","620","3","30","0","0"
"6 de outubro","71","0","3","0","0"
"7 de outubro","13","0","1","0","0"
"8 de outubro","1728","7","74","9","0"
"9 de outubro","5024","20","151","115","10"
"10 de outubro","3632","7","126","90","10"
"11 de outubro","1828","11","66","23","0"
"12 de outubro","2073","15","76","31","1"
"13 de outubro","1047","5","48","17","1"
"14 de outubro","576","3","24","20","0"
"15 de outubro","3006","24","63","21","7"
"16 de outubro","1780","10","82","13","2"
"17 de outubro","4308","43","109","29","3"
"18 de outubro","2928","30","61","18","1"
"19 de outubro","3419","18","128","5","5"
"20 de outubro","2261","17","69","10","5"
"21 de outubro","1534","29","50","5","6"
"22 de outubro","1214","10","43","4","0"
"23 de outubro","693","7","21","0","0"
"24 de outubro","616","3","9","1","0"
"25 de outubro","586","7","24","-6","0"
"26 de outubro","449","5","12","2","0"
"27 de outubro","840","11","35","4","0"
"28 de outubro","366","4","8","2","0"
"29 de outubro","217","3","4","0","0"
"30 de outubro","318","6","12","0","0"
"31 de outubro","295","9","5","0","0"
"1 de novembro","264","4","2","0","0"
"2 de novembro","231","0","8","0","1"
"3 de novembro","307","5","17","0","0"
"4 de novembro","214","2","0","1","0"
"5 de novembro","157","0","7","1","0"
"6 de novembro","242","5","8","3","0"
"7 de novembro","166","2","2","0","0"
